model,seed,endpoint_is_oracle,FF_regret,PAS_Stress_regret,random_regret_mean,random_regret_std,oracle_regret,PAS_Stress_candidate,selection_regret_csv,stress_table
OPT-2.7B,3025,False,0.558148,0,0.279074,0.279074,0,p0_candidates_seed3025_gpu5_opt-2.7b_seed3030_step000048_ep000048,/workspace/ckpts/opt-2.7b/sparsity_0.30/p0_pas_seed3025/selection_regret.csv,/workspace/ckpts/pas_stress_recovery/candidate_stress_table_opt27b_seed3025.csv
OPT-2.7B,4025,False,0.483036,0.179911,0.33693,0.151464,0,p0_candidates_seed4025_gpu1_opt-2.7b_seed4026_step000024_ep000024,/workspace/ckpts/opt-2.7b/sparsity_0.30/p0_pas_seed4025/selection_regret.csv,/workspace/ckpts/pas_informative_radius/opt-2.7b_seed4025/candidate_stress_table_opt27b_seed4025.csv
OPT-2.7B,5025,True,0,0.489063,0.235728,0.244373,0,p0_candidates_seed5025_gpu6_opt-2.7b_seed5031_step000026_ep000026,/workspace/ckpts/opt-2.7b/sparsity_0.30/p0_pas_seed5025/selection_regret.csv,/workspace/ckpts/pas_informative_radius/opt-2.7b_seed5025/candidate_stress_table_opt27b_seed5025.csv
OPT-1.3B,2025,True,0,0,0.59484,0.602022,0,p0_candidates_opt13b_seed2025_gpu2_opt-1.3b_seed2027_step000010_ep000010,/workspace/ckpts/opt-1.3b/sparsity_0.30/p0_pas_seed2025/selection_regret.csv,/workspace/ckpts/pas_stress_recovery_opt13b/candidate_stress_table_opt13b_seed2025.csv
OPT-1.3B,3025,True,0,0.980134,0.490067,0.490067,0,p0_candidates_opt13b_seed3025_gpu1_opt-1.3b_seed3026_step000041_ep000041,/workspace/ckpts/opt-1.3b/sparsity_0.30/p0_pas_seed3025/selection_regret.csv,/workspace/ckpts/pas_informative_radius/opt-1.3b_seed3025/candidate_stress_table_opt13b_seed3025.csv
OPT-2.7B,6025,True,0,0.562723,0.273483,0.281251,0,p0_candidates_seed6025_gpu1_opt-2.7b_seed6026_step000013_ep000013,/workspace/ckpts/opt-2.7b/sparsity_0.30/p0_pas_seed6025/selection_regret.csv,/workspace/ckpts/pas_informative_radius/opt-2.7b_seed6025/candidate_stress_table_opt27b_seed6025.csv
