model,seed,target_to_heldout,endpoint_is_oracle,endpoint_candidate,oracle_candidate,endpoint_L30,endpoint_L40,endpoint_Regret40,oracle_L40,stress_table
OPT-2.7B,3025,30->40,False,p0_candidates_seed3025_gpu6_opt-2.7b_seed3031_step000037_ep000037,p0_candidates_seed3025_gpu5_opt-2.7b_seed3030_step000048_ep000048,4.34252,5.56987,0.558148,5.01172,/workspace/ckpts/pas_stress_recovery/candidate_stress_table_opt27b_seed3025.csv
OPT-2.7B,4025,30->40,False,p0_candidates_seed4025_gpu7_opt-2.7b_seed4032_step000026_ep000026,p0_candidates_seed4025_gpu0_opt-2.7b_seed4025_step000005_ep000005,4.50837,6.15938,0.483036,5.67634,/workspace/ckpts/pas_informative_radius/opt-2.7b_seed4025/candidate_stress_table_opt27b_seed4025.csv
OPT-2.7B,5025,30->40,True,p0_candidates_seed5025_gpu3_opt-2.7b_seed5028_step000048_ep000048,p0_candidates_seed5025_gpu3_opt-2.7b_seed5028_step000048_ep000048,4.49074,5.06094,0,5.06094,/workspace/ckpts/pas_informative_radius/opt-2.7b_seed5025/candidate_stress_table_opt27b_seed5025.csv
OPT-1.3B,2025,30->40,True,p0_candidates_opt13b_seed2025_gpu2_opt-1.3b_seed2027_step000010_ep000010,p0_candidates_opt13b_seed2025_gpu2_opt-1.3b_seed2027_step000010_ep000010,4.151,5.11395,0,5.11395,/workspace/ckpts/pas_stress_recovery_opt13b/candidate_stress_table_opt13b_seed2025.csv
OPT-1.3B,3025,30->40,True,p0_candidates_opt13b_seed3025_gpu5_opt-1.3b_seed3030_step000007_ep000007,p0_candidates_opt13b_seed3025_gpu5_opt-1.3b_seed3030_step000007_ep000007,4.024,5.16853,0,5.16853,/workspace/ckpts/pas_informative_radius/opt-1.3b_seed3025/candidate_stress_table_opt13b_seed3025.csv
OPT-2.7B,6025,30->40,True,p0_candidates_seed6025_gpu6_opt-2.7b_seed6031_step000003_ep000003,p0_candidates_seed6025_gpu6_opt-2.7b_seed6031_step000003_ep000003,3.93125,4.54018,0,4.54018,/workspace/ckpts/pas_informative_radius/opt-2.7b_seed6025/candidate_stress_table_opt27b_seed6025.csv
